attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
38781,52,West Coast,"Sat, 3-Jul-2010 7:10 PM",135,Collingwood,83,14,2010,"Mathew Nicholls (117), Jeff Dalgleish (13), Shaun Ryan (175)",http://afltables.com/afl/stats/games/2010/041820100703.html,Docklands
37296,40,Essendon,"Sat, 3-Jul-2010 7:10 PM (7:40 PM)",124,Adelaide,84,14,2010,"Ray Chamberlain (126), Sam Hay (22), Michael Avon (176)",http://afltables.com/afl/stats/games/2010/010520100703.html,Football Park
25159,63,North Melbourne,"Sun, 4-Jul-2010 1:10 PM",98,Geelong,35,14,2010,"Chris Donlon (100), Damien Sully (50), Stuart Wenn (264), Heath Ryan (43)",http://afltables.com/afl/stats/games/2010/091220100704.html,Kardinia Park
39386,85,Sydney,"Sun, 4-Jul-2010 2:10 PM",89,Richmond,4,14,2010,"Brett Rosebury (188), Shane Stewart (35), Stefan Grun (91)",http://afltables.com/afl/stats/games/2010/141620100704.html,M.C.G.
31993,65,Melbourne,"Sun, 4-Jul-2010 4:40 PM",100,St Kilda,35,14,2010,"Hayden Kennedy (470), Scott Jeffery (177), Todd Keating (29)",http://afltables.com/afl/stats/games/2010/111520100704.html,Docklands
24260,105,Collingwood,"Fri, 9-Jul-2010 8:10 PM (8:40 PM)",79,Port Adelaide,-26,15,2010,"Chris Donlon (101), Stephen McBurney (327), Michael Avon (177)",http://afltables.com/afl/stats/games/2010/041320100709.html,Football Park
69220,83,Hawthorn,"Sat, 10-Jul-2010 2:10 PM",85,Geelong,2,15,2010,"Ray Chamberlain (127), Troy Pannell (65), Shane McInerney (300)",http://afltables.com/afl/stats/games/2010/091020100710.html,M.C.G.
26976,117,Adelaide,"Sat, 10-Jul-2010 1:10 PM (3:10 PM)",95,West Coast,-22,15,2010,"Scott McLaren (358), Stefan Grun (92), Todd Keating (30)",http://afltables.com/afl/stats/games/2010/011820100710.html,Subiaco
25707,81,Fremantle,"Sat, 10-Jul-2010 7:10 PM",100,Richmond,19,15,2010,"Michael Vozzo (249), Chris Kamolins (73), Simon Meredith (128)",http://afltables.com/afl/stats/games/2010/081420100710.html,Docklands
29329,79,St Kilda,"Sat, 10-Jul-2010 7:10 PM",65,Brisbane Lions,-14,15,2010,"Damien Sully (51), Stuart Wenn (265), Rob Findlay (25)",http://afltables.com/afl/stats/games/2010/151920100710.html,Gabba
23856,55,North Melbourne,"Sun, 11-Jul-2010 1:10 PM",85,Sydney,30,15,2010,"Matt Stevic (135), Mathew Nicholls (118), Shaun Ryan (176)",http://afltables.com/afl/stats/games/2010/121620100711.html,S.C.G.
49203,103,Essendon,"Sun, 11-Jul-2010 2:10 PM",122,Melbourne,19,15,2010,"Hayden Kennedy (471), Jason Armstrong (31), Corey Bowen (1)",http://afltables.com/afl/stats/games/2010/051120100711.html,M.C.G.
37517,126,Western Bulldogs,"Sun, 11-Jul-2010 4:40 PM",58,Carlton,-68,15,2010,"Brett Rosebury (189), Shane Stewart (36), Scott Jeffery (178)",http://afltables.com/afl/stats/games/2010/030720100711.html,Docklands
41195,63,Geelong,"Fri, 16-Jul-2010 8:10 PM (8:40 PM)",74,Adelaide,11,16,2010,"Stuart Wenn (266), Troy Pannell (66), Shane McInerney (301)",http://afltables.com/afl/stats/games/2010/010920100716.html,Football Park
81386,52,St Kilda,"Sat, 17-Jul-2010 2:10 PM",100,Collingwood,48,16,2010,"Michael Vozzo (250), Stephen McBurney (328), Ray Chamberlain (128)",http://afltables.com/afl/stats/games/2010/041520100717.html,M.C.G.
16690,43,Brisbane Lions,"Sat, 17-Jul-2010 2:10 PM",118,Hawthorn,75,16,2010,"Luke Farmer (51), Hayden Kennedy (472), Heath Ryan (44)",http://afltables.com/afl/stats/games/2010/101920100717.html,York Park
26991,132,West Coast,"Sat, 17-Jul-2010 7:10 PM",100,Essendon,-32,16,2010,"Scott McLaren (359), Justin Schmitt (196), Sam Hay (23)",http://afltables.com/afl/stats/games/2010/051820100717.html,Docklands
11080,47,Port Adelaide,"Sat, 17-Jul-2010 7:10 PM (7:40 PM)",83,Western Bulldogs,36,16,2010,"Mathew Nicholls (119), Jason Armstrong (32), Scott Jeffery (179)",http://afltables.com/afl/stats/games/2010/071320100717.html,Marrara Oval
31915,107,Sydney,"Sun, 18-Jul-2010 1:10 PM",68,Carlton,-39,16,2010,"Chris Donlon (102), Rob Findlay (26), Shaun Ryan (177)",http://afltables.com/afl/stats/games/2010/031620100718.html,Docklands
42723,103,North Melbourne,"Sun, 18-Jul-2010 2:10 PM",53,Richmond,-50,16,2010,"Matt Stevic (136), Simon Meredith (129), Jacob Mollison (32)",http://afltables.com/afl/stats/games/2010/121420100718.html,M.C.G.
32816,71,Melbourne,"Sun, 18-Jul-2010 2:40 PM (4:40 PM)",82,Fremantle,11,16,2010,"Dean Margetts (137), Brett Rosebury (190), Jeff Dalgleish (14)",http://afltables.com/afl/stats/games/2010/081120100718.html,Subiaco
